label	cutoff	tp	tn	fp	fn	sensitivity	specificity	ppv	npv	fdr	accuracy	mcc	f1score	s	h:m:s	max_rss	max_vms	max_uss	max_pss	io_in	io_out	mean_load	dataset	ref	region	seed	method	printref	tool
0.03	0.03	34004900	8683500000	3262660	6617490	0.837098	0.999624	0.912453	0.999239	0.912453	0.998868	0.873403	0.873153	530.4225	00:08:50	3782.39	3939.26	3779.52	3779.79	230.11	2.29	0	human	NA	NA	1	de_novo	NA	mothur
0.03	0.03	34694300	8682940000	3826230	5928110	0.854068	0.99956	0.900671	0.999318	0.900671	0.998882	0.876502	0.876751	479.5207	00:07:59	3783.13	3939.26	3779.23	3780.05	1690.93	2.28	0	human	NA	NA	2	de_novo	NA	mothur
0.03	0.03	34678300	8682960000	3807100	5944150	0.853673	0.999562	0.901077	0.999316	0.901077	0.998883	0.876497	0.876735	544.2721	00:09:04	3782.4	3939.26	3779.84	3780.08	1690.75	2.29	0	human	NA	NA	3	de_novo	NA	mothur
0.03	0.03	33873300	8683650000	3111640	6749160	0.833856	0.999642	0.915867	0.999223	0.915867	0.99887	0.873342	0.87294	417.6714	00:06:57	3783.09	3939.26	3779.15	3780.16	167.94	2.29	0	human	NA	NA	4	de_novo	NA	mothur
0.03	0.03	33880000	8683640000	3121180	6742400	0.834023	0.999641	0.915646	0.999224	0.915646	0.99887	0.873324	0.872931	425.5702	00:07:05	3783.09	3939.26	3780.11	3780.54	12.09	2.29	0	human	NA	NA	5	de_novo	NA	mothur
0.03	0.03	33979200	8683520000	3238870	6643260	0.836463	0.999627	0.912976	0.999236	0.912976	0.998868	0.873322	0.873046	624.9654	00:10:24	3782.64	3939.26	3780.05	3780.22	1690.13	2.29	0	human	NA	NA	6	de_novo	NA	mothur
0.03	0.03	34665400	8682970000	3795220	5957040	0.853356	0.999563	0.901322	0.999314	0.901322	0.998883	0.876453	0.876683	854.663	00:14:14	3782.98	3939.26	3780.4	3780.58	1689.79	2.33	0	human	NA	NA	7	de_novo	NA	mothur
0.03	0.03	34644900	8683000000	3764280	5977540	0.852851	0.999567	0.901995	0.999312	0.901995	0.998884	0.876522	0.876735	502.5462	00:08:22	3782.11	3939.26	3779.57	3779.92	1688.29	2.28	0	human	NA	NA	8	de_novo	NA	mothur
0.03	0.03	34709400	8682920000	3839530	5913060	0.854438	0.999558	0.900398	0.999319	0.900398	0.998883	0.876559	0.876817	415.9814	00:06:55	3782.14	3939.26	3779.28	3779.6	1466.38	2.28	0	human	NA	NA	9	de_novo	NA	mothur
0.03	0.03	34668700	8682970000	3792350	5953760	0.853437	0.999563	0.901398	0.999315	0.901398	0.998883	0.876532	0.876762	416.0724	00:06:56	3783.09	3939.26	3780.56	3780.93	1690.92	2.28	0	human	NA	NA	10	de_novo	NA	mothur
